No.,Time,Source,Destination,Protocol,Length,Info,Predicted_bad_packet,Time,Length,Num_MAC_Addresses
421.0,12.956001341,HuaweiTechno_50:d7:d5,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.141,0,,,
422.0,13.003391337,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,,,
423.0,13.031587587,HuaweiTechno_88:54:37,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.152,0,,,
,,,,,,,0,0.22121289,60.0,6.0
,,,,,,,0,0.337060181,60.0,7.0
,,,,,,,0,0.419699901,60.0,8.0
,,,,,,,0,0.565427294,60.0,9.0
,,,,,,,0,1.625146583,60.0,16.0
,,,,,,,0,1.667549104,60.0,16.0
,,,,,,,0,2.078842957,60.0,16.0
,,,,,,,0,2.289381893,60.0,17.0
,,,,,,,0,2.357942845,60.0,18.0
,,,,,,,0,2.426889834,60.0,18.0
,,,,,,,0,2.510417077,60.0,18.0
,,,,,,,0,2.729120336,60.0,18.0
,,,,,,,0,3.267178875,60.0,21.0
,,,,,,,0,3.496163517,60.0,21.0
,,,,,,,0,3.668956553,60.0,21.0
,,,,,,,0,3.730044495,60.0,22.0
,,,,,,,0,3.86084021,60.0,22.0
,,,,,,,0,3.969035398,60.0,22.0
,,,,,,,0,4.009355497,60.0,22.0
,,,,,,,0,4.299362137,60.0,23.0
,,,,,,,0,4.381389029,60.0,24.0
,,,,,,,0,4.576863929,60.0,25.0
,,,,,,,0,4.714367771,60.0,25.0
,,,,,,,0,5.01573208,60.0,25.0
,,,,,,,0,5.118893589,60.0,26.0
,,,,,,,0,5.127592795,60.0,27.0
,,,,,,,0,5.453175041,60.0,29.0
,,,,,,,0,5.530366098,42.0,31.0
,,,,,,,0,5.620530645,60.0,32.0
,,,,,,,0,5.680047715,60.0,32.0
,,,,,,,0,5.780478819,60.0,32.0
,,,,,,,0,6.029144383,60.0,32.0
,,,,,,,0,6.089725626,60.0,32.0
,,,,,,,0,6.286046398,60.0,32.0
,,,,,,,0,6.504641281,60.0,34.0
,,,,,,,0,6.946294968,60.0,35.0
,,,,,,,0,7.053884855,60.0,35.0
,,,,,,,0,7.077676998,60.0,35.0
,,,,,,,0,7.39996716,60.0,35.0
,,,,,,,0,7.668765601,60.0,35.0
,,,,,,,0,7.826355994,60.0,4.0
,,,,,,,0,9.340009808,60.0,36.0
,,,,,,,0,9.835707138,60.0,36.0
,,,,,,,0,10.137317991,60.0,36.0
,,,,,,,0,10.385800293,60.0,36.0
,,,,,,,0,11.120545468,60.0,36.0
,,,,,,,0,11.638747574,60.0,36.0
,,,,,,,0,12.27770195,60.0,38.0
,,,,,,,0,12.61147541,60.0,40.0
,,,,,,,0,12.624543793,60.0,40.0
,,,,,,,0,12.672258768,60.0,40.0
,,,,,,,0,12.71646707,60.0,41.0
,,,,,,,0,12.816485348,60.0,41.0
,,,,,,,0,12.85914694,60.0,41.0
,,,,,,,0,12.952254118,60.0,42.0
,,,,,,,0,12.956001341,60.0,42.0
,,,,,,,0,13.003391337,60.0,42.0
,,,,,,,0,13.031587587,60.0,42.0
