No.,Time,Source,Destination,Protocol,Length,Info,Predicted_bad_packet,Time,Length,Num_MAC_Addresses
55.0,2.830401317,HonHaiPrecis_e8:4c:a9,Broadcast,ARP,60.0,Who has 172.27.202.76? Tell 172.27.210.153,0,3.723223964,60.0,22.0
58.0,2.956078512,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,3.860840403,60.0,22.0
60.0,3.076226097,LiteonTechno_9c:e3:c8,Broadcast,ARP,60.0,Who has 172.27.29.49? Tell 172.27.163.27,0,4.006213565,60.0,22.0
62.0,3.084203308,d6:65:98:79:a7:b3,Broadcast,ARP,60.0,Who has 169.254.78.72? (ARP Probe),0,4.191456774,60.0,22.0
63.0,3.084622031,Intel_0c:b4:e9,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.30.64,0,4.191458375,60.0,22.0
64.0,3.102252226,52:24:64:d3:6e:a6,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.181,0,4.234729659,60.0,22.0
65.0,3.196368343,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,4.299361866,60.0,23.0
67.0,3.267178875,Intel_90:19:d8,Broadcast,ARP,60.0,Who has 172.27.29.187? Tell 172.27.29.84,0,4.379049707,60.0,2.0
69.0,3.267179816,Intel_90:19:d8,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.29.84,0,4.557899904,60.0,25.0
72.0,3.496163517,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,4.714367905,60.0,2.0
73.0,3.527233485,32:0c:98:40:ac:0c,Broadcast,ARP,60.0,Gratuitous ARP for 172.27.28.144 (Reply),0,4.816112666,60.0,25.0
74.0,3.533097643,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,4.840040073,60.0,25.0
76.0,3.599972045,52:ae:eb:ff:6a:65,Broadcast,ARP,60.0,Gratuitous ARP for 172.27.24.121 (Reply),0,5.058958709,60.0,25.0
78.0,3.632458173,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.23.165,0,5.122997865,60.0,27.0
80.0,3.668956553,HonHaiPrecis_e8:4c:a9,Broadcast,ARP,60.0,Who has 172.27.202.76? Tell 172.27.210.153,0,5.129615078,60.0,28.0
81.0,3.723223964,32:0c:98:40:ac:0c,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.28.144,0,5.185519012,60.0,28.0
82.0,3.730044495,d6:65:98:79:a7:b3,Broadcast,ARP,60.0,Who has 169.254.78.72? (ARP Probe),0,5.268495975,60.0,29.0
83.0,3.86084021,HonHaiPrecis_e8:71:f9,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.148.191,0,5.317592806,60.0,29.0
84.0,3.860840403,52:24:64:d3:6e:a6,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.181,0,5.410441252,60.0,29.0
86.0,3.969035398,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,5.455527401,60.0,30.0
87.0,4.006213565,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,5.517650736,60.0,30.0
89.0,4.009355497,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.23.165,0,5.54588292,60.0,32.0
93.0,4.191456774,Intel_90:19:d8,Broadcast,ARP,60.0,Who has 172.27.29.187? Tell 172.27.29.84,0,5.821611985,60.0,32.0
94.0,4.191458375,Intel_90:19:d8,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.29.84,0,5.821612199,60.0,32.0
96.0,4.234729659,HonHaiPrecis_e8:76:8f,Broadcast,ARP,60.0,Who has 172.27.238.133? Tell 172.27.7.200,0,6.05384529,60.0,32.0
97.0,4.299361866,52:ae:eb:ff:6a:65,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.24.121,0,6.053924944,60.0,32.0
99.0,4.299362137,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,6.183586289,60.0,32.0
101.0,4.379049707,d6:65:98:79:a7:b3,Broadcast,ARP,60.0,ARP Announcement for 169.254.78.72,0,6.366628707,60.0,33.0
102.0,4.381389029,e6:79:3f:97:36:60,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.104,0,6.39752973,60.0,3.0
104.0,4.557899904,e2:32:d8:34:3e:1f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.24.214,0,6.534546511,60.0,35.0
105.0,4.576863929,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,6.628513603,60.0,35.0
106.0,4.714367771,HonHaiPrecis_e8:71:f9,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.148.191,0,6.704717066,60.0,35.0
107.0,4.714367905,d6:65:98:79:a7:b3,Broadcast,ARP,60.0,ARP Announcement for 169.254.78.72,0,6.732366188,60.0,35.0
108.0,4.816112666,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,6.830829619,60.0,35.0
109.0,4.840040073,HonHaiPrecis_e8:76:8f,Broadcast,ARP,60.0,Who has 172.27.238.133? Tell 172.27.7.200,0,6.883373157,60.0,35.0
111.0,5.01573208,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,6.954514265,60.0,35.0
114.0,5.058958709,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,7.12058531,60.0,35.0
116.0,5.118893589,32:23:ae:ca:40:aa,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.205,0,7.57674272,60.0,35.0
117.0,5.122997865,HuaweiTechno_88:54:37,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.152,0,7.624911044,60.0,35.0
118.0,5.127592795,d6:65:98:79:a7:b3,Broadcast,ARP,60.0,Who has 172.27.28.207? (ARP Probe),0,7.62491122,60.0,35.0
119.0,5.129615078,8e:9e:76:fa:f4:50,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.140,0,7.647556736,60.0,35.0
121.0,5.185519012,Intel_90:19:d8,Broadcast,ARP,60.0,Who has 172.27.29.187? Tell 172.27.29.84,0,7.703810104,60.0,35.0
122.0,5.268495975,ea:1c:8b:31:84:25,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.30.86,0,7.708760154,60.0,35.0
123.0,5.317592806,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,7.817951119,60.0,35.0
125.0,5.410441252,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,8.079548436,60.0,35.0
126.0,5.453175041,d6:65:98:79:a7:b3,Broadcast,ARP,60.0,Who has 172.27.28.207? (ARP Probe),0,8.15667734,60.0,35.0
127.0,5.455527401,Cisco_81:47:57,Broadcast,ARP,60.0,Who has 172.27.14.112? Tell 172.27.0.2,0,8.358323116,60.0,36.0
128.0,5.517650736,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,8.383006342,60.0,36.0
129.0,5.530366098,6a:71:d9:32:c5:e0,Broadcast,ARP,42.0,Who has 172.27.0.2? Tell 172.27.30.125,0,8.486690821,60.0,36.0
130.0,5.54588292,HuaweiTechno_75:34:fe,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.30.95,0,8.572086326,60.0,36.0
131.0,5.620530645,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.23.165,0,8.672412217,60.0,36.0
132.0,5.680047715,HonHaiPrecis_e8:71:f9,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.148.191,0,8.957657634,60.0,36.0
133.0,5.780478819,Cisco_81:47:57,Broadcast,ARP,60.0,Who has 172.27.244.89? Tell 172.27.0.2,0,9.126509819,60.0,36.0
134.0,5.821611985,HonHaiPrecis_e8:76:8f,Broadcast,ARP,60.0,Who has 172.27.238.133? Tell 172.27.7.200,0,9.133186798,60.0,36.0
135.0,5.821612199,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,9.180505119,60.0,36.0
136.0,6.029144383,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.23.165,0,9.24193227,60.0,36.0
138.0,6.05384529,HonHaiPrecis_e8:be:0b,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.234.220,0,9.376831251,60.0,36.0
139.0,6.053924944,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,9.695954854,60.0,36.0
140.0,6.089725626,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,9.727576389,60.0,5.0
142.0,6.183586289,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,9.995962825,60.0,36.0
143.0,6.286046398,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,10.096543132,60.0,36.0
144.0,6.366628707,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.25.134? Tell 172.27.29.60,0,10.123366168,60.0,36.0
145.0,6.39752973,HuaweiTechno_88:54:37,Broadcast,ARP,60.0,ARP Announcement for 172.27.27.152,0,10.137317854,60.0,6.0
147.0,6.504641281,6e:08:65:dc:0a:24,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.145,0,10.146166222,60.0,36.0
149.0,6.534546511,52:e0:8c:e6:48:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.149,0,10.441686032,60.0,36.0
150.0,6.628513603,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.23.165,0,10.717472007,60.0,36.0
151.0,6.704717066,HonHaiPrecis_e8:be:0b,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.234.220,0,10.889199033,60.0,36.0
152.0,6.732366188,LiteonTechno_9c:e3:33,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.243.67,0,11.082980627,60.0,36.0
154.0,6.830829619,HonHaiPrecis_e8:4c:a9,Broadcast,ARP,60.0,Who has 172.27.202.76? Tell 172.27.210.153,0,11.12054569,60.0,36.0
155.0,6.883373157,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,11.174836363,60.0,36.0
156.0,6.946294968,52:e0:8c:e6:48:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.149,0,11.295176848,60.0,36.0
157.0,6.954514265,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,11.456568582,60.0,36.0
158.0,7.053884855,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,11.48363772,60.0,36.0
159.0,7.077676998,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,11.588699809,60.0,7.0
161.0,7.12058531,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.25.134? Tell 172.27.29.60,0,11.646551565,60.0,36.0
162.0,7.39996716,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,11.673094776,60.0,37.0
163.0,7.57674272,LiteonTechno_9c:e3:33,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.243.67,0,11.861029623,60.0,37.0
164.0,7.624911044,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.29.60,0,12.005336574,60.0,38.0
165.0,7.62491122,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.23.165,0,12.010997442,60.0,38.0
166.0,7.647556736,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,12.095267239,60.0,38.0
167.0,7.668765601,HonHaiPrecis_e8:4c:a9,Broadcast,ARP,60.0,Who has 172.27.202.76? Tell 172.27.210.153,0,12.140292884,60.0,38.0
168.0,7.703810104,HonHaiPrecis_e8:be:0b,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.234.220,0,12.196300479,60.0,38.0
169.0,7.708760154,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,12.234710441,60.0,38.0
171.0,7.817951119,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,12.31256452,60.0,38.0
172.0,7.826355994,8a:9d:b0:1e:e2:19,Broadcast,ARP,60.0,Gratuitous ARP for 172.27.26.65 (Reply),0,12.390243868,60.0,39.0
